,Marque,reseau,exploit,prix,écran
1058,Nokia 8.3 5G 8/128Go Double Sim - Bleu,['Réseau 5G'],['Mémoire 128 Go / RAM 8 Go'],"['493,42 €']","['Ecran 3.8""']"
1059,OPPO Reno 2 256 Go Double SIM Bleu océan,['Réseau 4G'],['Mémoire 256 Go / RAM 8 Go'],['279 €'],"['Ecran 6.5""']"
1060,Apple iPhone 4 16 Go Blanc,['Réseau 3G'],['iOS 4'],['51 €'],"['Ecran 3.5""']"
1061,Apple iPhone 4 16 Go Blanc,['Réseau 3G'],['iOS 4'],['51 €'],"['Ecran 3.5""']"
1062,Nokia C5-00,['Single-SIM (SIM unique)'],NA,"['29,77 €']","['Ecran 3.8""']"
1063,Huawei P20 lite 64 Go Or,['Réseau 4G'],['Mémoire 64 Go / RAM 4 Go'],['189 €'],"['Ecran 5.84""']"
1064,Samsung GT C3520 Argent métallique,['Single-SIM (SIM unique)'],['Couleur Argent métallique'],['82 €'],"['Ecran 2.4""']"
1065,Xiaomi Redmi Note 9 64 Go Double SIM Blanc polaire,['Réseau 4G'],['Mémoire 64 Go / RAM 3 Go'],"['205,91 €']","['Ecran 6.53""']"
1066,Thomson Serea 63 Noir,['Single-SIM (SIM unique)'],['Couleur Noir'],"['36,95 €']","['Ecran 2.4""']"
1067,Huawei P20 128 Go Noir,['Réseau 4G'],['Mémoire 128 Go / RAM 4 Go'],"['279,89 €']","['Ecran 5.8""']"
1068,Samsung Galaxy M11 Dual SIM 32 Go Bleu,['Double SIM'],NA,"['142,99 €']",['Android']
1069,Nokia 6.1 Plus 64 Go Dual Sim Blanc,['Android 8.1 Oreo'],['Double SIM'],['225 €'],"['Ecran 5.5""']"
1070,Samsung Galaxy S8 64 Go Double SIM Noir minuit,['Réseau 4G'],['Mémoire 64 Go / RAM 4 Go'],"['220,30 €']","['Ecran 5.8""']"
1071,Samsung Galaxy S10 128 Go Double SIM Rouge cardinal,['Réseau 4G'],['Mémoire 128 Go / RAM 8 Go'],"['418,99 €']","['Ecran 6.1""']"
1072,Nubia Red Magic 5G 256 Go (Ram 12 Go) Dual SIM Noir,['Double SIM'],NA,['608 €'],['Réseau 5G']
1073,Nubia Red Magic 5G 256 Go (Ram 12 Go) Dual SIM Noir,['Double SIM'],NA,['608 €'],['Réseau 5G']
1074,Sony Xperia 10 II Double SIM 128 Go Menthe,['Android'],['Double SIM'],['306 €'],"['Ecran 5""']"
1075,Nokia E63 Bleu outremer,['Réseau 3G'],['Symbian OS 9.2 / Series 60 3.1 Edition'],"['41,99 €']","['Ecran 3.8""']"
1076,Galaxy A01 Dual SIM 16 Go Bleu,['Double SIM'],NA,"['119,49 €']",['Android']
1077,Google Pixel 32 Go noir,['Android 7.0 Nougat'],['Single-SIM (SIM unique)'],"['126,99 €']","['Ecran 5""']"
1078,Oppo Reno 4 Z 5G 128 Go Noir,['Mémoire 128 Go / RAM 8 Go'],NA,"['324,77 €']",['Réseau 5G']
1079,Oppo Reno 4 Z 5G 128 Go Noir,['Mémoire 128 Go / RAM 8 Go'],NA,"['324,77 €']",['Réseau 5G']
1080,Samsung Galaxy S8 64 Go Or Érable,['Android 7.0 Nougat'],['Single-SIM (SIM unique)'],['198 €'],"['Ecran 6.2""']"
1081,Samsung Galaxy A30 A305 4Go/64Go Dual Sim Débloqué - Bleu,['Double SIM'],NA,"['173,99 €']",['Android']
1082,Caterpillar CAT S41 Dual SIM 32GB Noir,['Double SIM'],NA,['517 €'],"['Ecran 3.7""']"
1083,Huawei P20 Pro Twilight 6 + 128 Go,['Android'],['Double SIM'],"['319,89 €']","['Ecran 6.1""']"
1084,Huawei P20 Pro Twilight 6 + 128 Go,['Android'],['Double SIM'],"['319,89 €']","['Ecran 6.1""']"
1085,"X50plus 8 + 512g telephone mobile Android 5,8 pouces ecran reconnaissance de visage reconnaissance Bleu Prise…",['Single-SIM (SIM unique)'],NA,['565 €'],['Réseau 5G']
1086,"X50plus 8 + 512g telephone mobile Android 5,8 pouces ecran reconnaissance de visage reconnaissance Bleu Prise…",['Single-SIM (SIM unique)'],NA,['565 €'],['Réseau 5G']
1087,"8 + 128 Go de telephone mobile nowa7 pro Smartphone grand ecran de 6,1 po Orange Prise europeenne",['Single-SIM (SIM unique)'],NA,"['129,99 €']",['Android']
1088,Nokia 6.1 Plus 64 Go Noir,['Réseau 4G'],['Mémoire 32 Go / RAM 3 Go'],"['98,88 €']","['Ecran 5.7""']"
1089,Samsung Galaxy Note 3 32 Go Noir de jais,['Réseau 4G'],['Mémoire 128 Go / RAM 8 Go'],"['529,98 €']","['Ecran 6.4""']"
1090,Samsung Galaxy S10+ 128 Go Double SIM Rouge cardinal,['Réseau 4G'],['iOS 10'],['269 €'],"['Ecran 5.5""']"
1091,Apple iPhone 7 Plus 128 Go Noir de jais,['Réseau 4G'],['Mémoire 64 Go / RAM 3 Go'],"['170,12 €']","['Ecran 6.21""']"
1092,Huawei P Smart 2019 64 Go Double SIM Noir minuit,['Android'],['Single-SIM (SIM unique)'],['49 €'],"['Ecran 3.5""']"
1093,Samsung GALAXY Ace S5830i blanc,['Réseau 4G'],['Mémoire 128 Go / RAM 6 Go'],['678 €'],"['Ecran 6.5""']"
1094,Samsung Galaxy S20 FE 128 Go Double SIM Violet,['Android'],['Double SIM'],['189 €'],"['Ecran 5.8""']"
1095,Huawei P20 lite 64 Go BLEU,['Réseau 4G'],['Mémoire 128 Go / RAM 4 Go'],"['188,88 €']","['Ecran 6.3""']"
